,C1,C4,T3_,T4_,T5_,S1_,S2_,S3_,C3_,C5_,C6_,Imputed_C7,I1,I2,C3_,Imputed_C2,Imputed_C7,Y1,Y2
0,4.804021044733257,0.029074272999999998,2.4815329246486444,0.6404255319148936,0.054249547920433995,-5.323717832406393,-4.688678282653728,0.01092853211730482,1,1.3517920760146351,2.2314431669405645,51.345,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,1,1.0,51.345,0,1
1,5.556828061699537,-0.013351642,2.4564674021413624,0.6447534766118836,0.0513950073421439,-5.726618331907924,-4.500360482792552,0.010875550660792951,0,2.4873064069549757,0.0,25.936,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,0,0.0,25.936,1,0
2,4.499809670330265,0.020715002,2.482708389983075,0.6368159203980099,0.06176358798935766,-4.457392597426927,-5.071758900133758,0.011402508551881414,0,1.2146556193223292,0.0,7.377999999999999,ACAD,ACADIA PHARMACEUTICALS INC,0,1.0,7.377999999999999,1,0
3,5.342334251964811,0.020023137,2.5019243525034063,0.5396341463414634,0.06162973725632643,-4.637032159136836,-4.941521349904997,0.013318803729265045,0,1.193830679748194,0.0,8.526,ACHN,ACHILLION PHARMACEUTICALS INC,0,1.0,8.526,1,1
4,4.382026634673881,-0.034894701,2.4314050957541795,0.5874125874125874,0.048550236008091704,-5.399714815741012,-4.6004611291865185,0.011260957518543493,1,1.3154073592376931,1.7099759466766968,632.298,ACLI,AMERICAN COMMERCIAL LINES INC. ,1,1.0,632.298,0,1
5,4.543294782270004,-0.057556077000000004,2.168756842330907,0.6431372549019608,0.04528029334963053,-5.670937094734388,-5.2337232883116425,0.010056114228568254,1,1.7447366879143171,0.0,197.59099999999998,ACOM,Ancestry.com Inc. ,1,1.0,197.59099999999998,0,1
6,4.852030263919617,0.004105524,2.4240871171524287,0.7656565656565657,0.04429496128950374,-5.258384204541381,-5.001664357693566,0.008567077040233533,0,1.242162671654869,0.0,5.146,ACOR,ACORDA THERAPEUTICS INC,0,1.0,5.146,1,1
7,4.51085950651685,0.040619987999999996,2.4492397223887394,0.8263473053892215,0.06050421025451458,-5.3186546102696735,-4.538496052720099,0.010867628719045074,0,0.8843742775538389,0.0,500.45996229508194,ACRX,ACELRX PHARMACEUTICALS INC,0,0.0,500.45996229508194,1,0
8,4.605170185988092,-0.029315926000000003,2.4815015379709715,0.5403225806451613,0.06190508337271316,-5.542817442035632,-4.782978886977015,0.01579693512455276,0,1.5720664164243778,0.0,279.6,ACTV,ACTIVE NETWORK INC,0,1.0,279.6,1,1
9,4.663439094112067,-0.024925077,2.429202347988335,0.5142857142857142,0.050251806437486314,-4.725309839072506,-4.619949323414679,0.01609371578716882,1,1.1173058638789977,0.0,494.00800000000004,ACW,ACCURIDE CORP,1,1.0,494.00800000000004,1,0
11,4.59511985013459,0.015487111999999999,2.4556966885035254,0.5454545454545454,0.06651693158258466,-5.2962462577649,-4.949970021047067,0.012093987560469938,0,0.9347928500092274,0.0,0.32,ADLS,"Advanced Life Sciences Holdings, Inc.",0,1.0,0.32,1,1
12,4.836281906951478,0.019731083,2.377004052438862,0.6844660194174758,0.04518492672714585,-5.609297351224639,-4.8926196732545,0.013956734124214934,1,1.4439241342229756,1.8820720577620569,26.499000000000002,ADZA,ADEZA BIOMEDICAL CORP,1,1.0,26.499000000000002,0,1
13,4.941642422609304,-0.006315605,2.5374720748691417,0.5552884615384616,0.06873698163226662,-4.87056877859444,-4.494333308801214,0.013065707252414316,0,1.3526438031057588,2.0563674454038523,0.07400000000000001,AFFY,AFFYMAX INC,0,1.0,0.07400000000000001,0,1
14,6.1903154058531475,0.023274686,2.420488312350618,0.6089743589743589,0.048784414748027694,-5.2477220025568405,-4.2875120367478505,0.009230934363763215,1,1.29149445110579,0.0,166.896,AGAM,"AGA Medical Holdings, Inc. ",1,1.0,166.896,1,1
15,5.4510384535657,-0.08545458800000001,2.3867082470473044,0.7047781569965871,0.03577334362253335,-5.221017492504317,-5.284196394125849,0.008543710726491016,1,2.1973990843312103,0.0,510.19199999999995,AH,R1 RCM INC. ,1,1.0,510.19199999999995,1,1
16,4.8283137373023015,0.000254856,2.413036704129672,0.5204460966542751,0.05204460966542751,-5.1892462714936745,-5.276257648483305,0.012856257744733582,1,0.72373527846674,0.0,571.192,AHII,"ANIMAL HEALTH HOLDINGS, INC.",1,1.0,571.192,0,1
17,4.343805421853684,-0.006315605,2.3324872102966414,0.6317135549872123,0.05325914149443561,-5.05783689558055,-4.4366632146456935,0.011747041158805864,1,0.8367101940503451,0.0,363.465,AIMC,Altra Industrial Motion Corp. ,1,1.0,363.465,1,1
18,4.5217885770490405,0.036830797,2.508599854585906,0.6117424242424242,0.03869488014205386,-5.522645401269906,-5.19414133429787,0.008656407221071322,1,2.0327280262579412,0.0,170.27,AIRV,AIRVANA INC,1,1.0,170.27,1,1
