C1,C4,T3_,T4_,T5_,S1_,S2_,S3_,C3_,C5_,C6_,C7_,I1,I2,I3,C2,I3_bins,I3_bins_new,Y1,Y2
0.668492926677206,1.8878719499796182,1.8537903717596236,0.5346072254676852,0.5611338778405697,0.6461566380107995,0.7171424751189353,0.6714789165803102,1.0,0.6870913237085555,0.9999163933821738,0.42048246781238036,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,3674.0,1.0,5.0,2.0,0.0,1.0
0.9967528326903863,1.4815852658941688,1.6831052271445532,0.5461016456214813,0.48168911084080634,0.4596286171934497,0.8083422808746877,0.668296401886226,0.2027661795407098,1.0,0.0,0.3347171760909525,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,2834.0,0.0,5.0,2.0,1.0,0.0
0.5649796412371589,1.799847489988587,1.8621619614679303,0.5250205984953265,0.7702572537850477,1.0,0.5482956736895348,0.6993058894643237,0.282098121085595,0.6378177546922277,0.0,0.21960600825206053,ACAD,ACADIA PHARMACEUTICALS INC,2834.0,1.0,5.0,2.0,1.0,0.0
0.8910751722461558,1.792748627144786,2.003900139870503,0.266919300880756,0.7665320517755588,1.0,0.6035705974278299,0.802027929578212,0.35099164926931103,0.6306011164748395,0.0,0.23055637004866567,ACHN,ACHILLION PHARMACEUTICALS INC,2834.0,1.0,5.0,2.0,1.0,1.0
0.5284900620029768,1.310040815029287,1.526641738426995,0.39381220603890865,0.4025162318422668,0.6099194314213002,0.7590867176179752,0.691112833261007,0.5555845511482255,0.6737151636156208,0.9997947057811281,0.9714362133119537,ACLI,AMERICAN COMMERCIAL LINES INC. ,4492.0,1.0,6.0,1.0,0.0,1.0
0.5789318567526685,1.1509826999692463,1.0,0.5418091851821278,0.3115104025400796,0.4848324624400113,0.4818557188341403,0.6169872566081965,0.5534968684759917,0.8469370313342722,0.0,0.6591619400415655,ACOM,Ancestry.com Inc. ,7379.0,1.0,10.0,3.0,0.0,1.0
0.6861653901526886,1.636939420858196,1.483480474791756,0.8672034619958686,0.28408760934893856,0.6778724497763112,0.5778092254791188,0.5107231883859961,0.15057411273486426,0.6474552361160852,0.0,0.19446899867793255,ACOR,ACORDA THERAPEUTICS INC,2836.0,1.0,5.0,2.0,1.0,1.0
0.5684997976693789,2.016573083653817,1.636573751143697,1.0,0.7352074907968367,0.6485950817615441,0.789360317045676,0.6678192396189173,0.38648225469728603,0.5309256913725368,0.0,0.5379920785355896,ACRX,ACELRX PHARMACEUTICALS INC,2834.0,0.0,5.0,2.0,1.0,0.0
0.5992514033267068,1.3524589201960164,1.8535673002380837,0.2687476867980927,0.7741952141867013,0.5432677319735584,0.6737018651231725,0.9179784667429415,0.4344989561586639,0.7730639525031123,0.0,0.740056197084213,ACTV,ACTIVE NETWORK INC,7372.0,1.0,10.0,3.0,1.0,1.0
0.6189041880735358,1.3868083665618631,1.5135332766490024,0.19959738512444525,0.4498726671737685,0.9628355165419422,0.7497066645740457,0.9308968000170394,0.8520354906054279,0.604658314615036,0.0,0.8947058363855754,ACW,ACCURIDE CORP,3714.0,1.0,5.0,2.0,1.0,0.0
0.595912929421213,1.7468953562811744,1.6780876405238683,0.28237747272733116,0.9025476395324948,0.6594254104181506,0.5999257601818198,0.7380228615072029,0.0,0.5462502125167855,0.0,0.07092004439047334,,,,,,,,
0.6803255785049388,1.7897604251746957,1.2309354362974094,0.6515726449853485,0.30885625246056375,0.5128417866357329,0.6248426416267979,0.8334196532619748,0.5973382045929019,0.721983044347597,0.999838545031063,0.3371286243170157,ADLS,"Advanced Life Sciences Holdings, Inc.",2854.0,1.0,5.0,2.0,1.0,1.0
